n,r
"(:Person {role: ""CEO"",email_account: ""c.monzon@punchgear.com"",surname: ""Monzon"",name: ""Charlie"",phone_number: ""07337794873"",age: 27})",[:WORKS]
"(:Firm {name: ""PunchGear Co.""})",[:WORKS]
"(:Person {role: ""VPSales"",email_account: ""v.dalston@punchgear.com"",surname: ""Dalston"",name: ""Veronica"",phone_number: ""07475826107"",age: 53})",[:WORKS]
"(:Firm {name: ""PunchGear Co.""})",[:WORKS]
"(:Person {role: ""ZoneManager"",email_account: ""k.chong@punchgear.com"",surname: ""Chong"",name: ""Kim"",phone_number: ""07765243981"",age: 28})",[:WORKS]
"(:Firm {name: ""PunchGear Co.""})",[:WORKS]
"(:Person {role: ""SalesAgent"",email_account: ""lbax@punchgear.com"",surname: ""Bax"",name: ""Lucas"",phone_number: ""07765243981"",age: 22})",[:WORKS]
"(:Firm {name: ""PunchGear Co.""})",[:WORKS]
"(:Person {role: ""SalesAgent"",email_account: ""clight@punchgear.com"",surname: ""Light"",name: ""Christian"",phone_number: ""07841509627"",age: 42})",[:WORKS]
"(:Firm {name: ""PunchGear Co.""})",[:WORKS]
"(:Person {role: ""VPSales"",email_account: ""r.martino@tjab.com"",surname: ""Martino"",name: ""Ricky"",phone_number: ""07065498216"",age: 67})",[:WORKS]
"(:Firm {name: ""TysonJab Ltd.""})",[:WORKS]
"(:Person {role: ""ZoneManager"",email_account: ""l.levy@tjab.com"",surname: ""Levy"",name: ""Lena"",phone_number: ""07682103459"",age: 54})",[:WORKS]
"(:Firm {name: ""TysonJab Ltd.""})",[:WORKS]
"(:Person {role: ""SalesAgent"",email_account: ""g.foreguy@tjab.com"",surname: ""Foreguy"",name: ""Georgie"",phone_number: ""07263948105"",age: 34})",[:WORKS]
"(:Firm {name: ""TysonJab Ltd.""})",[:WORKS]
"(:Person {role: ""SalesAgent"",email_account: ""f.juneclimatey@tjab.com"",surname: ""Juneclimate"",name: ""Floyd"",phone_number: ""07921587064"",age: 28})",[:WORKS]
